REF_AREA,Reference area,Measure,Pollutant,Unit of measure,ISO,ISO 1,TIME_PERIOD,OBS_VALUE
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2019,15.018907
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2020,15.020099
GBR,United Kingdom,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,GBR,United Kingdom,1990,17.401073
GBR,United Kingdom,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,GBR,United Kingdom,1995,16.98921
GBR,United Kingdom,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,GBR,United Kingdom,2000,15.75989
GBR,United Kingdom,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,GBR,United Kingdom,2001,13.942944
GBR,United Kingdom,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,GBR,United Kingdom,2002,14.423676
GBR,United Kingdom,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,GBR,United Kingdom,2003,17.002348
GBR,United Kingdom,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,GBR,United Kingdom,2004,13.716571
GBR,United Kingdom,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,GBR,United Kingdom,2005,14.172382
GBR,United Kingdom,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,GBR,United Kingdom,2006,14.224287
GBR,United Kingdom,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,GBR,United Kingdom,2007,13.916618
GBR,United Kingdom,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,GBR,United Kingdom,2008,13.478106
GBR,United Kingdom,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,GBR,United Kingdom,2009,12.537039
